dataset.id,dataset.title,id
5af12104b595087cfabcde8e,"Aide aux quotidiens régionaux, départementaux et locaux à faibles ressources de petites annonces",871cbb48-1f2e-452c-bd82-18adb55fc8ff
5af12101b595087cfabcde8d,Recensement des circulaires de tri et de sélection des archives publiques,041bec1a-2941-4b05-8423-4f586a3aca5c
5af120ffa3a7295e54c41a1d,Images du Palais-Royal ,46ff0faf-3ffb-49a0-92d9-a95a571621f5
5af120fcb595087cfabcde8b,Semaine de la langue française et de la francophonie 2018,995dfb5c-98a9-4599-bc08-3ddc78f77e21
5af120fca3a7295e54c41a1c,Photographies : Fonds de la guerre 14-18,b14a6c83-caca-4571-aec4-2420642cb5f7
5af120f8b595087cfabcde89,Grands documents et images de l'histoire de France conservés par les Archives nationales,f64b051b-8535-4426-bc76-0cd6d5c13ab5
5af120f4b595087cfabcde87,Structures de la création artistique,c20d1d42-f99f-44c8-952b-5ef3bc548461
5af120f2b595087cfabcde86,Base FranceTerme : Termes scientifiques et techniques,301aafba-4c56-4f6c-a4ff-cb731f64708f
5af120f1a3a7295e54c41a17,Aides aux publications nationales à faibles ressources publicitaires,66112811-e9a7-49ac-959d-7ea929fe4508
5af120e7b595087cfabcde82,Fréquentation des Musées de France,7708e380-e7f8-4b56-936a-5d2a262d852d
5af120e5a3a7295e54c41a13,Pratiques culturelles des français - Evolution 1973-2008,7479572c-653f-4dc0-8472-6f9982a95196
5af120e5b595087cfabcde81,Immeubles protégés au titre des Monuments Historiques,3a52af4a-f9da-4dcc-8110-b07774dfb3bc
5af120e3b595087cfabcde80,Institutions culturelles productrices de ressources pédagogiques en ligne,0ee48665-5ffd-4d3c-b5c6-3a4246aaa6f2
5af120e2a3a7295e54c41a11,Aide au pluralisme de la presse périodique régionale et locale,bb5aba07-07a6-4968-9068-8d7b5a629297
5af120e0b595087cfabcde7f,Corpus d'archives numérisées des Archives nationales,2f0e99e4-0587-429a-806f-6c836b8bafd8
5af120d9b595087cfabcde7a,Aide à la distribution de la presse quotidienne nationale,d4323e0c-608c-414d-8e65-badfbe718fa9
5ac44defb5950877d5c04a3c,Semaine de la langue française et de la francophonie 2018,0856bf5f-c225-44d3-ba58-785527b3501f
5aab4167a3a7291ed12c89f7,Les entrées d'archives aux Archives nationales,1c3200cd-ceaf-4eea-8e0a-5644735f8bc6
